rack	pos.x	pos.y	vial.H	vial.L	vial.G	mass	color	comment	exp.H	exp.L	exp.G
1	A	1	500	7337	2197	13.18			2001	3001	4001
1	A	2	500	7337	2119	16.32			2002	3002	4002
1	A	3	500	7337	3020	16.67			2003	3003	4003
1	A	4	500	7337	2568	17.15			2004	3004	4004
1	A	5	500	7337	2388	16.53			2005	3005	4005
1	A	6	500	7337	2412	17.3	halbrot		2006	3006	4006
1	A	7	500	7337	2906	17.03			2007	3007	4007
1	A	8	500	7337	2186	17.42	rot		2008	3008	4008
1	A	9	500	7337	2490	16.84			2009	3009	4009
1	A	10	500	7337	2962	17.36			2010	3010	4010
1	A	11	500	7337	2951	17.52			2011	3011	4011
1	A	12	500	7337	2311	nd			2012	3012	4012
1	B	1	500	7337	2535	6.35			2013	3013	4013
1	B	2	500	7337	2489	16.21			2014	3014	4014
1	B	3	500	7337	2704	17.45	rot		2015	3015	4015
1	B	4	500	7337	2120	17.29	rot		2016	3016	4016
1	B	5	500	7337	2524	15.54			2017	3017	4017
1	B	6	500	7337	2805	16.62			2018	3018	4018
1	B	7	500	7337	2322	15.77			2019	3019	4019
1	B	8	500	7337	2603	16.64	rot		2020	3020	4020
1	B	9	500	7198	9177	15.84			2021	3021	4021
1	B	10	500	7337	2658	17.37			2022	3022	4022
1	B	11	500	7337	2591	17.34			2023	3023	4023
1	B	12	500	7337	2153	nd			2024	3024	4024
1	C	1	500	7337	2939	12.88			2025	3025	4025
1	C	2	500	7337	3086	17.99			2026	3026	4026
1	C	3	500	7337	3019	14.64	halbrot		2027	3027	4027
1	C	4	500	7337	2737	nd	rot		2028	3028	4028
1	C	5	500	7337	2579	nd			2029	3029	4029
1	C	6	500	7337	2849	nd			2030	3030	4030
1	C	7	500	7337	2467	nd			2031	3031	4031
1	C	8	500	7287	0201	nd			2032	3032	4032
1	C	9	500	7287	0920	nd			2033	3033	4033
1	C	10	500	7337	2636	nd			2034	3034	4034
1	C	11	500	7337	2254	nd			2035	3035	4035
1	C	12	500	7337	2715	nd			2036	3036	4036
1	D	1	500	7337	2175	15.99			2037	3037	4037
1	D	2	500	7337	2984	nd			2038	3038	4038
1	D	3	500	7337	2300	nd			2039	3039	4039
1	D	4	500	7337	2760	nd			2040	3040	4040
1	D	5	500	7337	2287	nd			2041	3041	4041
1	D	6	500	7337	2344	nd			2042	3042	4042
1	D	7	500	7337	2456	nd			2043	3043	4043
1	D	8	500	7337	2580	nd			2044	3044	4044
1	D	9	500	7337	2973	nd			2045	3045	4045
1	D	10	500	7337	2625	nd	halbrot (eher weiß)		2046	3046	4046
1	D	11	500	7337	2557	nd	halbrot (eher weiß)		2047	3047	4047
1	D	12	500	7337	2377	nd			2048	3048	4048
1	E	1	500	7337	2995	13.06			2049	3049	4049
1	E	2	500	7337	2243	nd			2050	3050	4050
1	E	3	500	7337	2861	nd			2051	3051	4051
1	E	4	500	7337	2726	16.3			2052	3052	4052
1	E	9	500	7337	2478	nd	halbrot		2053	3053	4053
1	E	10	500	7337	2434	nd	rot		2054	3054	4054
1	E	11	500	7337	3042	nd	rot		2055	3055	4055
1	E	12	500	7337	2355	16.63	rot		2056	3056	4056
1	F	9	500	7337	2681	nd	rot		2057	3057	4057
1	F	10	500	7337	2816	nd	rot		2058	3058	4058
1	F	11	500	7337	2164	nd	rot		2059	3059	4059
1	F	12	500	7337	2096	15.88	rot		2060	3060	4060
1	G	9	500	7337	2670	9.7	rot		2061	3061	4061
1	G	10	500	7337	2232	17	rot		2062	3062	4062
1	G	11	500	7337	2782	17.83	rot		2063	3063	4063
1	G	12	500	7337	2401	16.44	rot		2064	3064	4064
1	H	10	500	7337	2423	3.84	rot		2065	3065	4065
1	H	11	500	7337	2210	11.85	rot	Zwischenschicht recht groß	2066	3066	4066
1	H	12	500	7337	2399	8.49	rot		2067	3067	4067
2	A	1	500	7337	2445	nd			2068	3068	4068
2	A	2	500	7337	2940	nd			2069	3069	4069
2	A	3	500	7337	2276	nd			2070	3070	4070
2	A	4	500	7337	2838	nd			2071	3071	4071
2	A	5	500	7062	3317	nd			2072	3072	4072
2	A	6	500	7062	4150	nd			2073	3073	4073
2	B	1	500	7062	4026	nd			2074	3074	4074
2	B	2	500	7062	3676	nd			2075	3075	4075
2	B	3	500	7062	3542	nd			2076	3076	4076
2	B	4	500	7062	4116	nd			2077	3077	4077
2	B	5	500	7062	3362	nd			2078	3078	4078
2	B	6	500	7062	3339	nd			2079	3079	4079
2	B	7	500	7062	4037	7.41			2080	3080	4080
2	C	1	500	7062	4059	nd			2081	3081	4081
2	C	2	500	7062	3845	nd			2082	3082	4082
2	C	3	500	7062	4228	nd			2083	3083	4083
2	C	4	500	7062	3597	nd			2084	3084	4084
2	C	5	500	7062	3665	nd			2085	3085	4085
2	C	6	500	7062	3306	nd			2086	3086	4086
2	C	7	500	7062	3519	nd			2087	3087	4087
2	D	1	500	7062	3733	nd			2088	3088	4088
2	D	2	500	7062	4004	nd			2089	3089	4089
2	D	3	500	7062	3711	nd			2090	3090	4090
2	D	4	500	7062	3564	nd			2091	3091	4091
2	D	5	500	7062	4138	nd	rot		2092	3092	4092
2	D	6	500	7062	3700	nd	rot		2093	3093	4093
2	D	7	500	7062	3902	nd	rot		2094	3094	4094
2	E	1	500	7062	3485	nd			2095	3095	4095
2	E	2	500	7062	3430	nd			2096	3096	4096
2	E	3	500	7062	3946	nd			2097	3097	4097
2	E	4	500	7062	3553	nd	rot		2098	3098	4098
2	E	5	500	7062	3834	nd	rot		2099	3099	4099
2	E	6	500	7062	3979	nd	rot		2100	3100	4100
2	E	7	500	7062	4082	nd	rot		2101	3101	4101
2	F	1	500	7062	3687	nd			2102	3102	4102
2	F	2	500	7062	3856	nd			2103	3103	4103
2	F	3	500	7062	3957	nd			2104	3104	4104
2	F	4	500	7062	3889	nd	rot		2105	3105	4105
2	F	5	500	7062	3924	nd	rot		2106	3106	4106
2	F	6	500	7062	4071	nd	rot		2107	3107	4107
2	F	7	500	7062	4060	nd	rot		2108	3108	4108
2	G	1	500	7062	3744	nd	halbrot		2109	3109	4109
2	G	4	500	7062	3586	7	rot		2110	3110	4110
2	G	5	500	7062	3474	14.83	rot		2111	3111	4111
2	G	6	500	7062	3609	12.67	rot		2112	3112	4112
