rack	pos.x	pos.y	vial.H	vial.L	vial.G	mass	color	comment	exp.H	exp.L	exp.G
1	A	1	500	7283	7080	16.47	w		2001	3001	4001
1	A	2	500	7283	6966	19.13	wg		2002	3002	4002
1	A	3	500	7283	6607	17.65	w		2003	3003	4003
1	A	4	500	7283	6719	16.62	w		2004	3004	4004
1	A	5	500	7283	6900	16.95	wr		2005	3005	4005
1	A	6	500	7283	6539	18.33	r		2006	3006	4006
1	A	7	500	7283	6775	21.38	r		2007	3007	4007
1	A	8	500	7283	6876	20.1	r	Probe war auf den Fussboden gefallen	2008	3008	4008
1	A	9	500	7283	6797	16.2	w		2009	3009	4009
1	A	10	500	7283	6641	18.05	w		2010	3010	4010
1	A	11	500	7283	6573	17.38	w		2011	3011	4011
1	A	12	500	7283	6517	17.32	wr		2012	3012	4012
1	B	1	500	7283	6720	16.05	w		2013	3013	4013
1	B	2	500	7283	7114	18.14	w		2014	3014	4014
1	B	3	500	7283	6203	14.49	w		2015	3015	4015
1	B	4	500	7283	6236	15.99	w		2016	3016	4016
1	B	5	500	7283	7046	17.91	r		2017	3017	4017
1	B	6	500	7283	7147	21.56	r		2018	3018	4018
1	B	7	500	7283	7079	22.18	r		2019	3019	4019
1	B	8	500	7283	6382	20.93	r		2020	3020	4020
1	B	9	500	7283	6337	16.89	wr		2021	3021	4021
1	B	10	500	7283	6933	16.74	w		2022	3022	4022
1	B	11	500	7283	6584	17.63	w		2023	3023	4023
1	B	12	500	7283	6168	19.16	r		2024	3024	4024
1	C	1	500	7283	6258	19.8	wg		2025	3025	4025
1	C	2	500	7283	6348	17.27	w		2026	3026	4026
1	C	3	500	7283	6326	15.88	w		2027	3027	4027
1	C	4	500	7283	6449	17.32	w		2028	3028	4028
1	C	5	500	7283	6292	20.32	g		2029	3029	4029
1	C	6	500	7283	7103	20.68	gr		2030	3030	4030
1	C	7	500	7283	6483	19.42	r		2031	3031	4031
1	C	8	500	7283	6281	22.1	r		2032	3032	4032
1	C	9	500	7283	6685	19.85	r		2033	3033	4033
